,id,age,education,marital_status,income,childrenhome,dt_customer,recency,wine_products,fruit_products,meat_products,fish_products,sweet_products,gold_products,total_products,deal_purchases,web_purchases,catalog_purchases,store_purchases,total_purchases,web_visits_permonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,total_cmp,complain,response
40,8601,44,Graduation,Married,80011.0,1,2013-04-29,3,421,76,536,82,178,102,1395,2,8,6,5,19,4,0,0,0,0,0,0,0,0
41,503,39,Master,Married,20559.0,1,2013-03-12,88,13,1,29,3,0,7,53,2,2,0,3,5,8,0,0,0,0,0,0,0,0
42,8430,67,Graduation,Together,21994.0,1,2012-12-24,4,9,0,6,3,1,3,22,1,0,0,3,3,5,0,0,0,0,0,0,0,0
43,7281,65,PhD,Single,55212.0,0,2013-11-05,80,81,11,50,3,2,39,186,1,1,3,4,8,2,0,0,0,0,0,0,0,0
44,2139,49,Master,Married,7500.0,1,2013-10-02,19,3,1,10,3,2,12,31,3,2,0,3,5,5,0,0,0,0,0,0,0,0
45,1371,48,Graduation,Single,79941.0,0,2014-06-28,72,123,164,266,227,30,174,984,1,2,4,9,15,1,0,0,0,0,0,0,0,0
46,9909,28,2n Cycle,Married,7500.0,0,2012-11-09,24,3,18,14,15,22,50,122,3,3,1,3,7,9,0,0,0,0,0,0,0,1
47,7286,56,Graduation,Together,41728.0,1,2013-05-24,92,13,6,15,3,5,13,55,1,2,0,2,4,10,0,0,0,0,0,0,0,0
48,7244,73,Graduation,Single,52028.5,3,2014-01-01,96,48,5,48,6,10,7,124,3,2,1,4,7,6,0,0,0,0,0,0,0,0
49,6566,70,PhD,Married,72550.0,2,2012-11-08,39,826,50,317,50,38,38,1319,9,5,2,12,19,8,0,0,0,0,0,0,0,0
50,8614,67,Graduation,Widow,65486.0,1,2014-05-12,29,245,19,125,37,67,14,507,1,4,2,10,16,2,0,0,0,0,0,0,0,0
51,4114,60,Master,Married,79143.0,0,2012-08-11,2,650,37,780,27,167,32,1693,1,6,9,13,28,3,0,0,0,0,0,0,0,0
52,1331,47,Graduation,Single,35790.0,1,2013-01-02,54,12,6,20,30,1,3,72,2,2,0,3,5,7,0,0,0,0,0,0,0,0
53,2225,47,Graduation,Divorced,82582.0,0,2014-06-07,54,510,120,550,156,40,241,1617,1,4,9,7,20,1,1,0,0,1,0,2,0,1
54,9381,46,Graduation,Married,66373.0,2,2013-06-12,57,328,9,124,12,24,109,606,7,4,2,10,16,3,0,0,0,0,0,0,0,0
55,6260,69,Master,Together,82384.0,0,2012-11-19,55,984,51,432,180,120,190,1957,1,3,10,13,26,1,0,0,1,0,0,1,0,1
56,10383,58,Graduation,Divorced,70287.0,0,2013-04-02,30,295,35,482,121,120,40,1093,1,5,5,10,20,3,0,0,0,0,0,0,0,1
57,7437,36,Graduation,Single,27938.0,1,2014-04-28,31,13,0,8,2,1,5,29,1,1,0,4,5,3,0,0,0,0,0,0,0,0
58,8557,42,Graduation,Single,52028.5,1,2013-06-17,57,11,3,22,2,2,6,46,2,2,0,3,5,6,0,0,0,0,0,0,0,0
59,8375,56,PhD,Married,55954.0,1,2014-03-03,63,447,0,28,0,0,43,518,3,8,2,6,16,7,0,0,0,0,0,0,0,0
60,6853,42,Master,Single,75777.0,0,2013-07-04,12,712,26,538,69,13,80,1438,1,3,6,11,20,1,0,1,1,0,0,2,0,1
61,3076,49,Graduation,Together,66653.0,2,2012-09-07,18,452,18,102,16,18,6,612,4,4,2,12,18,3,0,0,0,0,0,0,0,0
62,1012,72,Graduation,Single,61823.0,1,2013-02-18,26,523,7,134,37,14,169,884,4,8,2,10,20,7,0,0,0,0,0,0,0,0
63,6518,73,PhD,Widow,67680.0,1,2013-06-11,8,546,0,48,0,6,6,606,1,7,3,8,18,5,0,0,0,0,0,0,0,0
64,4137,76,Graduation,Together,70666.0,0,2013-12-06,29,398,40,367,119,122,30,1076,1,7,4,4,15,4,0,0,0,0,0,0,0,0
65,8082,53,Graduation,Married,25721.0,1,2013-05-21,75,1,3,6,3,6,15,34,1,1,1,2,4,7,0,0,0,0,0,0,0,1
66,1386,57,Graduation,Together,32474.0,2,2014-05-11,0,10,0,1,0,0,0,11,1,1,0,2,3,7,0,0,0,0,0,0,0,0
67,9369,45,2n Cycle,Single,88194.0,1,2014-03-19,19,688,14,309,201,24,38,1274,1,11,10,10,31,5,1,0,0,1,0,2,0,1
68,4477,66,Graduation,Together,69096.0,1,2013-09-27,4,247,49,159,7,82,109,653,1,5,2,10,17,4,0,0,0,0,0,0,0,0
69,1357,54,Graduation,Together,74854.0,3,2013-04-08,90,856,59,487,58,29,73,1562,7,2,5,5,12,5,0,0,0,0,0,0,0,0
70,1402,70,Master,Married,66991.0,0,2012-09-11,1,496,36,460,189,60,12,1253,3,4,8,6,18,3,0,0,0,0,0,0,0,0
71,10629,51,2n Cycle,Married,46805.0,1,2012-09-14,25,25,3,43,17,4,17,109,3,3,0,3,6,8,0,0,0,0,0,0,0,0
72,6312,65,Graduation,Married,65031.0,1,2013-03-17,29,258,107,291,84,37,86,863,4,10,3,13,26,7,0,0,0,0,0,0,0,0
73,8132,49,PhD,Married,60631.0,2,2013-04-05,88,565,6,65,0,6,19,661,5,9,2,8,19,7,0,1,0,0,0,1,0,0
74,1050,72,Graduation,Married,28332.0,0,2014-04-30,58,14,10,13,4,15,9,65,1,2,1,4,7,2,0,0,0,0,0,0,0,0
75,5846,47,Graduation,Divorced,40246.0,1,2012-12-19,68,2,1,6,2,1,1,13,1,1,0,2,3,6,0,0,0,0,0,0,0,0
76,1859,52,Master,Married,75251.0,0,2012-08-27,34,721,111,925,97,18,18,1890,1,7,6,5,18,5,0,0,0,0,0,0,0,1
77,7503,48,Graduation,Single,75825.0,0,2012-10-12,40,1032,105,779,137,105,51,2209,0,5,8,9,22,4,1,0,0,0,0,1,0,1
78,10401,48,2n Cycle,Together,26326.0,0,2013-09-04,12,1,0,5,0,3,9,18,1,0,0,3,3,3,0,0,0,0,0,0,1,0
79,1618,59,Graduation,Together,56046.0,0,2013-01-02,9,577,0,64,0,0,51,692,2,10,1,8,19,8,1,0,0,0,0,1,0,1
80,3332,39,Graduation,Single,29760.0,1,2012-08-29,87,64,4,68,7,5,17,165,4,3,1,4,8,8,0,0,0,0,0,0,0,0
81,2261,55,Graduation,Married,26304.0,1,2013-06-23,5,4,1,5,2,0,4,16,1,1,0,2,3,7,0,0,0,0,0,0,0,0
82,5346,51,2n Cycle,Married,23559.0,1,2013-07-03,87,25,5,19,7,0,23,79,3,3,0,3,6,7,0,0,0,0,0,0,0,0
83,4119,61,Master,Together,38620.0,0,2013-05-11,56,112,17,44,34,22,89,318,1,2,5,3,10,3,0,0,0,0,0,0,0,0
84,535,37,Graduation,Divorced,81361.0,0,2014-02-25,18,163,23,424,27,65,76,778,1,3,10,13,26,1,0,0,0,0,0,0,0,0
85,5268,64,Graduation,Married,29440.0,2,2013-08-11,95,17,8,14,10,4,3,56,2,1,0,4,5,7,0,0,0,0,0,0,0,0
86,273,54,Master,Married,36138.0,2,2013-07-16,48,130,0,16,0,0,5,151,5,3,1,4,8,7,0,1,0,0,0,1,0,0
87,4452,67,Graduation,Single,50388.0,1,2014-05-28,3,292,6,37,0,3,34,372,4,6,1,6,13,7,0,1,0,1,0,2,0,1
88,8504,51,Graduation,Married,79593.0,0,2014-05-12,70,350,60,568,110,133,145,1366,1,5,6,7,18,2,0,0,1,0,0,1,0,0
89,771,57,Graduation,Together,54178.0,1,2014-01-21,79,135,9,39,4,0,7,194,1,2,2,5,9,2,0,0,0,0,0,0,0,0
90,8996,67,PhD,Married,55212.0,3,2012-11-19,4,230,42,192,49,37,53,603,12,7,2,8,17,9,0,0,0,0,0,0,0,0
91,9235,67,Graduation,Single,52028.5,2,2014-05-27,45,7,0,8,2,0,1,18,1,1,0,2,3,7,0,0,0,0,0,0,0,0
92,5798,51,Master,Together,50943.0,0,2013-11-23,87,445,37,359,98,28,18,985,1,2,4,8,14,1,0,0,0,0,0,0,0,0
93,11178,52,Master,Single,42394.0,1,2014-03-23,69,15,2,10,0,1,4,32,1,1,0,3,4,7,0,0,0,0,0,0,0,0
94,2230,54,PhD,Married,23626.0,1,2014-05-24,84,27,2,14,0,0,0,43,3,3,1,3,7,5,0,0,0,0,0,0,0,0
95,7516,41,Graduation,Married,30096.0,1,2014-05-22,30,5,3,11,12,5,9,45,1,2,0,3,5,6,0,0,0,0,0,0,0,0
96,7247,64,Graduation,Widow,47916.0,1,2012-11-22,72,505,0,26,0,0,75,606,5,7,4,6,17,6,0,1,0,0,0,1,0,0
97,11100,52,Graduation,Divorced,51813.0,2,2013-04-11,37,51,2,7,0,1,2,63,2,2,0,3,5,7,0,0,0,0,0,0,0,0
98,4646,73,2n Cycle,Married,78497.0,0,2013-12-01,44,207,26,447,75,0,223,978,1,5,7,12,24,2,0,0,0,1,0,1,0,0
99,3037,41,PhD,Married,50150.0,0,2013-06-20,32,135,46,92,65,61,11,410,2,5,2,7,14,5,0,0,0,0,0,0,0,0
100,1473,64,2n Cycle,Single,47823.0,1,2013-07-23,0,53,1,5,2,1,10,72,2,2,0,3,5,8,0,0,0,0,0,0,0,0
101,1016,65,PhD,Single,34554.0,1,2014-03-30,43,41,1,6,2,0,5,55,2,2,0,3,5,6,0,0,0,0,0,0,0,0
102,4518,45,Graduation,Together,85693.0,1,2013-04-20,59,386,172,183,185,132,111,1169,2,9,5,11,25,5,0,0,0,0,0,0,0,0
103,9370,79,PhD,Married,65846.0,0,2013-05-17,68,562,81,276,80,40,81,1120,1,6,3,6,15,4,0,0,0,0,0,0,0,0
104,8908,65,Graduation,Married,87195.0,0,2014-05-08,35,217,76,690,50,26,38,1097,1,3,11,5,19,1,0,0,0,0,0,0,0,1
105,8373,45,Basic,Together,24594.0,1,2013-12-10,94,1,3,6,10,0,9,29,1,1,0,3,4,5,0,0,0,0,0,0,0,0
106,7533,60,Graduation,Married,49096.0,2,2013-09-24,15,144,1,32,2,1,7,187,4,4,1,4,9,7,0,0,0,0,0,0,0,0
107,2683,55,Graduation,Married,52413.0,2,2013-02-02,56,295,106,271,75,98,65,910,4,6,4,12,22,6,0,0,0,0,0,0,0,0
108,3629,46,Graduation,Single,38557.0,1,2012-12-19,17,76,3,31,4,4,27,145,2,3,1,3,7,7,0,0,0,0,0,0,0,0
109,10991,64,Master,Married,89058.0,0,2012-12-07,18,454,194,106,31,22,43,850,1,5,4,4,13,2,0,0,0,0,0,0,0,0
110,5077,45,Graduation,Together,77298.0,1,2013-11-02,46,425,115,292,23,35,79,969,1,6,6,11,23,3,0,0,0,0,0,0,0,0
111,7431,33,PhD,Single,68126.0,0,2012-11-10,40,1332,17,311,23,51,86,1820,1,7,4,5,16,9,0,1,0,0,0,1,0,1
112,3267,61,Master,Together,57288.0,1,2014-06-25,27,527,0,21,0,0,60,608,3,8,1,8,17,6,0,1,0,0,0,1,0,0
113,999,33,Graduation,Single,86037.0,0,2013-01-02,95,490,44,125,29,20,22,730,1,6,7,11,24,3,0,1,1,0,0,2,0,1
114,9215,44,PhD,Married,43974.0,1,2012-12-12,19,378,0,101,0,0,72,551,5,6,4,6,16,7,0,0,0,0,0,0,0,0
115,2286,62,Graduation,Single,50785.0,2,2013-09-10,27,64,1,21,0,1,27,114,2,2,1,3,6,6,0,0,0,0,0,0,0,0
116,1592,54,Graduation,Married,90765.0,0,2014-01-24,25,547,99,812,151,82,33,1724,0,4,6,5,15,1,0,0,1,1,0,2,0,0
117,367,46,2n Cycle,Married,36550.0,1,2013-02-19,74,47,90,94,123,103,120,577,5,9,1,5,15,9,0,0,0,0,0,0,0,0
118,5234,57,2n Cycle,Together,30753.0,2,2013-07-11,85,12,5,25,0,9,30,81,2,1,1,3,5,5,0,0,0,0,0,0,0,0
119,9862,55,Graduation,Together,21918.0,1,2013-11-14,37,1,6,7,11,5,3,33,2,2,0,3,5,6,0,0,0,0,0,0,0,0
120,9805,71,Master,Together,56129.0,1,2013-06-20,65,320,48,133,39,72,48,660,4,6,2,10,18,4,0,0,0,0,0,0,0,0
121,6205,57,Master,Single,32557.0,1,2014-02-24,13,34,3,29,0,4,10,80,3,2,1,3,6,5,0,0,0,0,0,0,0,1
122,8442,39,Master,Married,19510.0,2,2013-09-04,63,9,0,7,3,4,7,30,2,1,0,3,4,7,0,0,0,0,0,0,0,0
123,7386,48,Graduation,Divorced,30992.0,1,2013-04-22,83,17,0,14,7,3,2,43,1,1,0,3,4,7,0,0,0,0,0,0,0,0
124,7215,41,Graduation,Single,101970.0,0,2013-03-12,69,722,27,102,44,72,168,1135,0,6,8,13,27,2,0,1,1,1,0,3,0,1
125,1491,59,2n Cycle,Together,71488.0,0,2013-02-18,87,162,33,124,40,28,172,559,2,3,4,7,14,1,0,0,0,0,0,0,0,0
126,11071,40,Graduation,Single,79607.0,0,2013-04-21,37,450,133,951,173,0,216,1923,1,3,6,6,15,1,0,0,0,0,0,0,0,1
127,3381,71,Master,Married,54348.0,2,2014-06-08,51,70,0,16,0,0,4,90,2,2,0,4,6,6,0,0,0,0,0,0,0,0
128,8268,63,PhD,Married,55212.0,1,2013-07-11,23,352,0,27,10,0,15,404,3,6,1,7,14,6,0,0,0,0,0,0,0,0
129,11051,68,PhD,Together,77376.0,2,2014-05-10,72,492,19,110,16,12,12,661,4,6,3,10,19,4,0,0,0,0,0,0,0,0
130,8026,72,Graduation,Married,62998.0,1,2013-09-30,10,120,58,73,65,89,58,463,5,5,4,5,14,5,0,0,0,0,0,0,0,0
131,433,66,Master,Single,61331.0,2,2013-03-10,42,534,5,47,0,5,41,632,5,11,1,6,18,8,0,0,0,0,0,0,0,0
132,9597,55,Graduation,Married,73448.0,0,2014-02-10,10,236,106,189,23,41,130,725,1,7,2,9,18,4,0,0,0,0,0,0,0,0
133,1295,61,Graduation,Married,52028.5,1,2013-08-11,96,231,65,196,38,71,124,725,1,6,5,7,18,4,0,0,0,0,0,0,0,0
134,5290,60,PhD,Married,41551.0,2,2013-08-14,51,220,0,33,3,0,23,279,5,5,1,5,11,8,0,0,0,0,0,0,0,0
135,1685,57,PhD,Together,62981.0,0,2013-03-17,21,796,14,590,38,44,0,1482,1,4,5,13,22,3,0,1,0,0,0,1,0,0
136,5342,48,Basic,Divorced,9548.0,1,2012-08-08,31,0,1,3,10,6,9,29,2,1,0,3,4,8,0,0,0,0,0,0,0,0
137,9579,65,PhD,Married,33762.0,3,2013-07-07,61,53,1,34,2,0,16,106,3,2,2,2,6,8,0,0,0,0,0,0,0,0
138,7660,51,PhD,Single,35860.0,2,2014-05-19,37,15,0,8,4,2,20,49,2,1,1,2,4,5,1,0,0,0,0,1,0,1
139,1461,59,PhD,Divorced,36921.0,2,2013-07-28,74,17,1,12,3,1,4,38,2,2,0,3,5,7,0,0,0,0,0,0,0,0
140,821,32,Master,Single,92859.0,0,2012-10-19,46,962,61,921,52,61,20,2077,1,5,4,12,21,2,0,0,0,0,0,0,0,0
141,11084,48,Master,Together,65104.0,1,2013-11-14,4,738,0,232,13,20,50,1053,2,3,5,7,15,7,0,0,0,0,0,0,0,1
142,8690,62,Graduation,Married,86111.0,0,2013-04-19,73,399,28,756,36,40,126,1385,1,5,7,10,22,2,0,0,0,0,0,0,0,0
143,2937,50,PhD,Single,68352.0,1,2013-08-28,47,614,16,132,43,33,33,871,3,8,5,9,22,6,0,0,0,0,0,0,0,0
144,9701,36,Graduation,Together,41883.0,1,2013-03-19,13,32,34,41,73,16,116,312,3,4,2,3,9,7,0,0,0,0,0,0,0,0
145,9949,48,Graduation,Married,59809.0,2,2012-10-18,36,598,16,141,32,41,49,877,3,3,3,6,12,8,0,0,0,0,0,0,0,0
146,10837,49,Graduation,Married,23957.0,1,2012-10-28,47,2,1,18,20,11,16,68,1,2,0,3,5,6,0,0,0,0,0,0,0,1
147,3120,43,Graduation,Together,38547.0,1,2013-08-28,49,6,1,10,0,1,4,22,1,1,0,2,3,8,0,0,0,0,0,0,1,0
148,5885,51,2n Cycle,Married,35688.0,3,2012-08-22,94,73,3,90,12,1,32,211,7,4,1,4,9,8,0,0,0,0,0,0,0,0
149,4050,58,Master,Married,49605.0,0,2014-06-21,65,42,16,29,12,20,8,127,1,2,1,4,7,3,0,0,0,0,0,0,0,0
150,3830,71,Master,Married,59354.0,2,2014-04-24,59,295,21,78,39,13,13,459,1,4,4,7,15,3,0,0,0,0,0,0,0,0
151,7987,55,Graduation,Married,65747.0,1,2014-03-07,96,346,17,48,23,13,13,460,4,8,1,6,15,6,0,1,0,0,0,1,0,0
152,7798,52,2n Cycle,Together,46344.0,1,2012-12-14,28,233,20,57,8,20,91,429,4,7,1,5,13,7,0,0,0,0,0,0,0,0
153,92,36,Graduation,Single,34176.0,1,2014-05-12,12,5,7,24,19,14,20,89,4,3,0,4,7,6,0,0,0,0,0,0,0,0
154,7055,72,PhD,Together,61010.0,1,2012-10-09,57,888,0,57,0,0,76,1021,2,8,5,11,24,5,0,0,0,0,0,0,0,0
155,10240,75,Graduation,Together,69372.0,0,2013-02-19,10,997,26,269,34,13,42,1381,1,10,4,6,20,4,0,1,1,0,0,2,0,1
156,3025,66,Graduation,Single,49967.0,1,2013-07-08,4,212,6,69,4,12,3,306,3,6,1,5,12,7,0,0,0,0,0,0,0,0
157,9283,46,Graduation,Single,60199.0,3,2013-09-12,49,8,1,7,2,0,0,18,1,0,0,3,3,4,0,0,0,0,0,0,0,0
158,9970,47,Graduation,Together,55375.0,1,2013-10-17,3,42,11,57,10,28,14,162,1,1,1,6,8,2,0,0,0,0,0,0,0,0
159,2730,69,Graduation,Single,80317.0,0,2013-08-20,64,536,11,387,149,91,57,1231,1,3,4,10,17,1,0,0,0,0,0,0,0,0
160,2795,66,Master,Single,30523.0,3,2013-07-01,0,5,0,3,0,0,5,13,1,1,0,2,3,7,0,0,0,0,0,0,0,0
161,9260,79,PhD,Married,70356.0,0,2012-11-05,20,1349,16,249,43,16,33,1706,2,10,6,9,25,6,0,0,0,0,0,0,0,0
162,8182,40,Graduation,Married,23228.0,1,2014-01-05,91,53,3,49,7,4,5,121,4,3,0,4,7,8,0,0,0,0,0,0,0,0
163,10095,49,PhD,Divorced,74165.0,0,2013-05-01,9,1001,12,240,16,12,12,1293,1,5,4,10,19,2,0,0,0,0,0,0,0,0
164,8475,51,PhD,Married,157243.0,1,2014-03-01,98,20,2,1582,1,2,1,1608,15,0,22,0,22,0,0,0,0,0,0,0,0,0
165,4370,58,Graduation,Together,43482.0,3,2013-11-13,83,18,1,32,6,3,28,88,3,2,0,4,6,6,0,0,0,0,0,0,0,0
166,10573,71,Graduation,Divorced,62551.0,0,2013-11-18,27,125,16,98,134,21,27,421,1,6,7,4,17,3,1,0,0,0,0,1,0,0
167,3712,65,Graduation,Divorced,52332.0,0,2013-08-28,63,212,5,33,7,0,2,259,1,3,2,6,11,4,0,1,0,0,0,1,0,0
168,6637,36,Graduation,Single,66951.0,0,2013-11-02,46,277,162,305,173,76,124,1117,1,3,4,7,14,1,0,0,0,0,0,0,0,0
169,3152,67,Graduation,Together,26091.0,2,2014-02-25,84,15,10,19,8,17,20,89,3,2,1,3,6,5,0,0,0,0,0,0,0,0
170,5610,59,Graduation,Together,33456.0,2,2014-04-21,58,7,3,10,8,1,7,36,2,1,0,3,4,7,0,0,0,0,0,0,0,0
171,6460,42,Graduation,Married,28718.0,1,2013-07-13,78,12,4,6,11,8,16,57,2,2,0,3,5,8,0,0,0,0,0,0,0,0
172,1349,54,Graduation,Married,50447.0,2,2014-04-21,4,85,7,24,2,3,27,148,1,3,1,3,7,6,0,0,0,0,0,0,0,0
173,1880,65,PhD,Together,53537.0,2,2014-01-30,17,81,0,6,0,0,6,93,2,2,1,3,6,5,0,0,0,0,0,0,0,0
174,641,57,Graduation,Single,52074.0,1,2014-04-04,77,59,0,12,0,0,48,119,1,2,2,2,6,4,1,0,0,0,0,1,0,0
175,8717,49,PhD,Married,80427.0,1,2012-09-12,56,1149,71,449,69,71,26,1835,1,11,8,8,27,5,0,0,0,0,0,0,0,0
176,10314,76,PhD,Married,83837.0,0,2012-12-16,79,847,66,119,86,89,111,1318,1,9,10,5,24,4,0,1,0,1,0,2,0,1
177,10854,54,PhD,Married,38853.0,2,2014-05-23,90,29,0,14,0,0,2,45,2,2,0,3,5,7,0,0,0,0,0,0,0,0
178,10492,65,Graduation,Together,38285.0,3,2014-06-24,96,2,0,5,2,0,1,10,1,0,0,3,3,2,0,0,0,0,0,0,0,0
179,6935,73,2n Cycle,Married,78497.0,0,2013-12-01,44,207,26,447,75,0,223,978,1,5,7,12,24,2,0,0,0,1,0,1,0,0
180,7698,48,PhD,Married,51650.0,1,2014-05-11,81,152,3,22,2,5,7,191,1,4,1,4,9,5,0,0,0,0,0,0,0,0
181,3559,36,2n Cycle,Married,16248.0,1,2014-05-10,77,12,11,10,3,12,9,57,3,2,1,3,6,6,0,0,0,0,0,0,0,0
182,10562,78,Master,Married,66835.0,0,2013-09-28,21,620,26,195,34,17,141,1033,1,6,4,13,23,2,0,0,0,0,0,0,0,0
183,10796,40,Master,Married,30477.0,1,2014-01-22,16,47,1,6,0,0,12,66,1,1,1,3,5,6,0,0,0,0,0,0,0,0
184,2563,63,Basic,Married,28249.0,0,2014-06-15,80,1,9,7,2,14,10,43,1,2,0,3,5,6,0,0,0,0,0,0,0,0
185,3518,41,Graduation,Married,25271.0,1,2012-12-05,45,10,1,18,10,4,7,50,1,1,1,2,4,9,0,0,0,0,0,0,0,0
186,5823,54,PhD,Single,32303.0,1,2014-03-08,63,35,0,2,0,0,2,39,2,1,0,4,5,5,0,0,0,0,0,0,0,0
